Age,BuildingType,PrimaryPropertyType,NumberofBuildings,NumberofFloors,LargestPropertyUseType,SteamUse(kBtu)_Usage,Electricity(kBtu)_Usage,NaturalGas(kBtu)_Usage,TotalUseTypeNumber,RateParking,RateBuilding,RatePerFloors,RatePerBuildings,log_SiteEnergyUse(kBtu),log_TotalGHGEmissions,log_PropertyGFATotal
89,NonResidential,Residential,1.0,12,Residential,1,1,1,1,0.0,1.0,7369.5,88434.0,15.793246493880627,5.525373254682162,11.390023097868895
20,NonResidential,Residential,1.0,11,Residential,0,1,1,3,0.1455,0.8545,9415.0909,103566.0,15.942304802589588,5.6932606471966185,11.547974025246633
90,NonResidential,Residential,1.0,10,Residential,1,1,1,1,0.0,1.0,6132.0,61320.0,15.731636529382916,5.660979352330892,11.023877640745798
90,NonResidential,Residential,1.0,11,Residential,0,1,1,1,0.0,1.0,7546.1818,83008.0,15.566238983044945,5.176940380381437,11.326704314635162
90,NonResidential,Other,1.0,8,Other,1,1,1,1,0.0,1.0,12845.125,102761.0,15.6557637188467,5.404972044416576,11.540170913860424
112,NonResidential,Residential,1.0,15,Residential,0,1,1,1,0.0,1.0,10932.2667,163984.0,16.434643640030767,5.974216653698429,12.007530239208668
88,NonResidential,Residential,1.0,9,Residential,1,1,1,1,0.0,1.0,7223.2222,65009.0,15.701982831633819,5.796756594662978,11.082296383198514
36,NonResidential,Residential,1.0,33,Residential,1,1,1,2,0.1823,0.8177,9574.303,315952.0,16.921234033977285,6.476387576550862,12.66334874732981
94,NonResidential,Residential,1.0,11,Residential,1,1,1,2,0.2733,0.7267,8380.9091,92190.0,16.190417335793235,6.239086053829017,11.431617790897278
12,Nonresidential COS,Other,1.0,11,Other,1,1,0,3,0.1383,0.8617,37454.5455,412000.0,16.738073088320842,5.206092422505519,12.928781055513184
33,NonResidential,Residential,1.0,28,Residential,0,1,1,2,0.2042,0.7958,14867.1786,416281.0,17.328748801997715,6.6894624438984165,12.939118194198793
109,NonResidential,Other,1.0,5,Public,1,1,1,5,0.0,1.0,11490.4,57452.0,15.844459208532589,5.613201096424962,10.95872250123467
100,NonResidential,Residential,1.0,10,Residential,1,1,1,1,0.0,1.0,10435.2,104352.0,16.13343824905496,5.858847022493143,11.555534661493144
100,NonResidential,Other,1.0,10,Public,0,1,1,1,0.0,1.0,54036.0,540360.0,17.621827854829043,7.143846644402559,13.199992713700011
31,NonResidential,Other,1.0,19,Other,0,1,1,1,0.0,1.0,20277.5789,385274.0,17.683786733207448,7.43864820089824,12.861712644003578
15,NonResidential,Residential,1.0,6,Residential,0,1,1,2,0.3452,0.6548,14765.3333,88592.0,15.113939222722186,4.510969390589264,11.391808126699964
88,NonResidential,Other,1.0,7,University,0,1,1,1,0.0,1.0,18084.7143,126593.0,16.24417193569497,5.963682166095531,11.748740394204184
86,NonResidential,Other,1.0,2,Other,0,1,0,1,0.0,1.0,33612.0,67224.0,14.08571907185736,2.315501318260592,11.115800481137065
25,NonResidential,Residential,1.0,8,Residential,0,1,1,4,0.191,0.809,19834.5,158676.0,15.488496344757419,5.55129152782092,11.974625968475259
110,NonResidential,Office,1.0,3,Office,0,1,1,4,0.0,1.0,29087.3333,87262.0,15.23763563788641,5.06745661408942,11.376681826100373
22,NonResidential,Residential,1.0,4,Residential,0,1,1,1,0.0,1.0,20467.75,81871.0,15.71291592712419,5.375278407684165,11.312912331044872
61,NonResidential,Other,1.0,2,Other,0,1,1,1,0.0,1.0,55178.0,110356.0,12.670956354385986,1.5953389880545987,11.611475844199505
55,NonResidential,Warehouse,3.0,2,Warehouse,0,1,0,3,0.0,1.0,357047.5,238031.6667,17.616180930806593,5.74569187773341,13.478772686065135
26,SPS-District K-12,School,1.0,2,School,0,1,1,1,0.0,1.0,27493.0,54986.0,14.316455679938992,3.4803165861147547,10.914852072639958
55,NonResidential,Office,1.0,2,Office,0,1,1,2,0.0,1.0,47450.0,94900.0,15.637873995032086,4.8794630213208565,11.460589521950299
116,NonResidential,Office,1.0,2,Office,0,1,1,2,0.0,1.0,26277.0,52554.0,14.897767236540313,4.441002839774179,10.869615519257454
62,NonResidential,School,1.0,3,School,0,1,1,1,0.0,1.0,58338.3333,175015.0,15.760669210431033,5.516850305304563,12.072632677297742
105,NonResidential,Other,1.0,3,Other,0,1,1,3,0.0,1.0,23528.6667,70586.0,14.584984319173593,3.8379458020318302,11.164601270548886
43,NonResidential,Office,1.0,5,Office,0,1,0,3,0.0,1.0,33623.0,168115.0,16.070601656398004,4.211831257677767,12.03240949630686
96,NonResidential,Other,1.0,2,Other,0,1,1,4,0.0,1.0,28714.0,57428.0,14.036542280937914,3.5339784928959737,10.958304681204567
106,NonResidential,Office,1.0,8,Office,0,1,0,2,0.0,1.0,7425.0,59400.0,15.439240846064969,3.5934692693092782,10.992066340225865
90,NonResidential,Other,1.0,2,Other,0,1,1,3,0.0,1.0,26274.5,52549.0,16.525305702433577,6.372141621406648,10.869520376305097
86,NonResidential,Residential,1.0,20,Residential,0,1,1,3,0.1018,0.8982,4931.7,98634.0,15.392703855589147,4.0975062255596795,11.49918144717797
31,NonResidential,Residential,1.0,7,Residential,0,1,1,4,0.0,1.0,10164.2857,71150.0,15.492291181118645,4.908085639080461,11.172559658233004
108,NonResidential,Residential,1.0,7,Residential,0,1,1,3,0.0,1.0,17544.2857,122810.0,15.502146242770712,5.430134791168223,11.718401867230671
57,NonResidential,Residential,1.0,5,Residential,0,1,1,2,0.3759,0.6241,22634.6,113173.0,15.480259139319724,4.982167230116731,11.636681736391475
16,NonResidential,Residential,1.0,7,Residential,0,1,1,1,0.2309,0.7691,21493.2857,150453.0,15.719882384569159,5.30305612089521,11.921412668610715
19,NonResidential,Residential,1.0,6,Residential,0,1,1,1,0.2425,0.7575,19383.3333,116300.0,15.578115209171504,5.096139981042732,11.663936936922068
105,NonResidential,School,1.0,3,School,0,1,1,1,0.0,1.0,18690.6667,56072.0,14.989474182393874,4.9927428412546675,10.934409692234288
17,NonResidential,Residential,1.0,4,Residential,0,1,1,2,0.3651,0.6349,30735.5,122942.0,15.490237022692243,5.151208501509824,11.719476112310662
54,NonResidential,Office,1.0,2,Office,0,1,1,1,0.0,1.0,27492.0,54984.0,15.031968695130814,4.488411625377895,10.914815699745034
